Country,Signatures,Threshold,Percentage,Petition_ID,Population,GDP,Population_Density,Unemployment_Rate,Tertiary_Enrollment,Life_Expectancy,Urban_Population,Labor_Participation,Signatures_Per_Capita,GDP_Per_Capita,Threshold_Ratio,Threshold_Per_Capita,Petition_Name
Portugal,17824,14805,120.39,eci_table_03,10269417.0,237686075635.0,111,6.33,63.9,81.3,6753579.0,58.8,0.0017356389364654294,23145.04081731222,1.2039175954069572,0.0014416592490109224,My Voice My Choice
Romania,67402,23265,289.71,eci_table_03,19356544.0,250077444017.0,84,3.98,49.4,75.4,10468793.0,54.7,0.0034821298678111134,12919.529644186483,2.897141629056523,0.0012019191029142393,My Voice My Choice
Slovakia,7542,9870,76.41,eci_table_03,5454073.0,105422304976.0,114,5.56,46.6,77.2,2930419.0,59.5,0.001382819775239532,19329.0968008679,0.7641337386018237,0.001809656746435187,My Voice My Choice
Slovenia,59508,5640,1055.11,eci_table_03,2087946.0,53742159517.0,103,4.2,78.6,81.0,1144654.0,58.4,0.02850073708802814,25739.247814359183,10.551063829787234,0.0027012192844067806,My Voice My Choice
Spain,59642,41595,143.39,eci_table_03,47076781.0,1394116310769.0,94,13.96,88.9,83.3,37927409.0,57.5,0.0012669090522565679,29613.67113798626,1.433874263733622,0.0008835565881193109,My Voice My Choice
Sweden,23810,14805,160.82,eci_table_03,10285453.0,530832908738.0,25,6.48,67.0,82.5,9021165.0,64.6,0.0023149199165073235,51610.06605523354,1.6082404593042892,0.0014394115650521178,My Voice My Choice
Austria,156,13395,1.16,eci_table_04,8877067.0,446314739528.0,109,4.67,85.1,81.6,5194416.0,60.7,1.757337192565968e-05,50277.27508736838,0.011646136618141097,0.0015089443393859706,Air-Quotas
Belgium,257,14805,1.74,eci_table_04,11484055.0,529606710418.0,383,5.59,79.7,81.6,11259082.0,53.6,2.237885485571081e-05,46116.699233676605,0.01735900033772374,0.0012891787787501889,Air-Quotas
Bulgaria,17,11985,0.14,eci_table_04,6975761.0,86000000000.0,64,4.34,71.0,74.9,5256027.0,55.4,2.4370100982530796e-06,12328.404026456756,0.0014184397163120568,0.001718092119268421,Air-Quotas
Croatia,24,8460,0.28,eci_table_04,4067500.0,60415553039.0,73,6.93,67.9,78.1,2328318.0,51.2,5.900430239704978e-06,14853.239837492318,0.0028368794326241137,0.002079901659496005,Air-Quotas
