Petition_ID,Petition_Name,Country,Genre,Year,Total_Signatures,Successful,Signatures,Signatures_Per_Capita,Population,Population_Density,GDP_Per_Capita,Unemployment,Tertiary_Enrollment,Life_Expectancy,Media_Literacy_Index,Governance,Social_Capital,Personal_Freedom,Education
eci_table_05,Stop Destroying Videogames,Hungary,Digital Rights,2024,1294188,True,25595,0.0026197680254011,9769949.0,107,16475.741838979917,3.4,48.5,75.8,41,45.75,59.51,60.36,77.34
eci_table_05,Stop Destroying Videogames,Republic of Ireland,Digital Rights,2024,1294188,True,36073,0.0072044143989228,5007069.0,72,77629.9889911643,4.93,77.8,82.3,70,81.72,67.73,88.59,85.0
eci_table_05,Stop Destroying Videogames,Italy,Digital Rights,2024,1294188,True,77030,0.0012775012705357,60297396.0,206,33189.56579886136,9.89,61.9,82.9,47,62.33,60.97,78.44,80.0
eci_table_05,Stop Destroying Videogames,Latvia,Digital Rights,2024,1294188,True,7526,0.0039345688416234,1912789.0,30,17836.364886560932,6.52,88.1,74.7,55,68.82,55.06,81.39,81.36
eci_table_05,Stop Destroying Videogames,Lithuania,Digital Rights,2024,1294188,True,14461,0.0051890238563766,2786844.0,43,19455.45412660343,6.35,72.4,75.7,54,72.57,47.26,79.62,81.8
eci_table_05,Stop Destroying Videogames,Luxembourg,Digital Rights,2024,1294188,True,2465,0.0038193545987973,645397.0,242,110172.37314087298,5.36,19.2,82.1,53,86.31,66.6,89.2,78.79
eci_table_05,Stop Destroying Videogames,Malta,Digital Rights,2024,1294188,True,2007,0.0039928141282355,502653.0,1380,29416.230606402427,3.47,54.3,82.3,45,70.26,68.19,81.05,78.33
eci_table_05,Stop Destroying Videogames,Netherlands,Digital Rights,2024,1294188,True,90413,0.005216280069348,17332850.0,508,52447.83143920359,3.2,85.0,81.8,64,87.34,74.03,90.08,86.43
eci_table_05,Stop Destroying Videogames,Poland,Digital Rights,2024,1294188,True,143826,0.0037877979843181,37970874.0,124,15595.227033436207,3.47,67.8,77.6,53,58.03,63.27,67.09,78.63
eci_table_05,Stop Destroying Videogames,Portugal,Digital Rights,2024,1294188,True,31585,0.0030756371077345,10269417.0,111,23145.04081731222,6.33,63.9,81.3,60,73.19,62.92,85.78,77.64
eci_table_05,Stop Destroying Videogames,Romania,Digital Rights,2024,1294188,True,38221,0.001974577693208,19356544.0,84,12919.529644186485,3.98,49.4,75.4,32,57.11,49.96,73.56,70.47
eci_table_05,Stop Destroying Videogames,Slovakia,Digital Rights,2024,1294188,True,18628,0.0034154291664229,5454073.0,114,19329.0968008679,5.56,46.6,77.2,48,61.93,61.15,78.6,72.75
eci_table_05,Stop Destroying Videogames,Slovenia,Digital Rights,2024,1294188,True,6520,0.0031226861231085,2087946.0,103,25739.247814359183,4.2,78.6,81.0,55,63.66,62.69,75.8,81.8
eci_table_05,Stop Destroying Videogames,Spain,Digital Rights,2024,1294188,True,121616,0.0025833542017242,47076781.0,94,29613.67113798626,13.96,88.9,83.3,58,72.48,69.27,83.65,80.98
eci_table_05,Stop Destroying Videogames,Sweden,Digital Rights,2024,1294188,True,71158,0.0069183146332981,10285453.0,25,51610.06605523354,6.48,67.0,82.5,71,86.41,78.29,91.9,85.92
eci_table_21,Fur Free Europe,Austria,Animal Welfare,2022,1502319,True,25136,0.0028315658764319,8877067.0,109,50277.27508736838,4.67,85.1,81.6,59,81.19,67.94,85.99,81.93
eci_table_21,Fur Free Europe,Belgium,Animal Welfare,2022,1502319,True,27753,0.002416655092648,11484055.0,383,46116.699233676605,5.59,79.7,81.6,61,80.31,64.55,87.7,84.79
eci_table_21,Fur Free Europe,Bulgaria,Animal Welfare,2022,1502319,True,71444,0.0102417499682113,6975761.0,64,12328.404026456756,4.34,71.0,74.9,31,53.12,54.62,68.31,72.79
eci_table_21,Fur Free Europe,Croatia,Animal Welfare,2022,1502319,True,9362,0.0023016594960049,4067500.0,73,14853.239837492318,6.93,67.9,78.1,45,56.15,52.19,75.16,73.54
